,time_timetuple,time_datetime,ask,bid,cpn,facevalue,y2o_ask,y2o_bid,yield_ask,yield_bid,future_payments_sum_rf_discounted,ytm_rf,yto_rf,spread_offer_ask,spread_offer_bid,spread_maturity_ask,spread_maturity_bid
328,2014-07-15,2014-07-15 00:00:00,99.02,97.07,45.38,1000.0,,,9.8228,10.8716,1039.7979270276983,0.086263295538057,0.086263295538057,,,1.1964704461943008,2.2452704461943007
327,2014-07-16,2014-07-16 00:00:00,98.88,96.91,45.38,1000.0,,,9.9001,10.9294,1039.8978526312326,0.08633473162339583,0.08633473162339583,,,1.2666268376604162,2.2959268376604154
326,2014-07-17,2014-07-17 00:00:00,98.98,94.51,45.38,1000.0,,,10.1032,10.3845,1034.4568119784467,0.08933693650477098,0.08933693650477098,,,1.1695063495229014,1.4508063495229013
325,2014-07-18,2014-07-18 00:00:00,98.42,92.01,45.38,1000.0,,,10.1535,13.8689,1034.6561755046307,0.08935990960832514,0.08935990960832514,,,1.217509039167485,4.932909039167486
324,2014-07-21,2014-07-21 00:00:00,98.19,92.01,45.38,1000.0,,,10.2839,11.4332,1028.932219146054,0.09281975754329311,0.09281975754329311,,,1.001924245670688,2.1512242456706883
323,2014-07-22,2014-07-22 00:00:00,98.14,97.01,45.38,1000.0,,,10.5307,10.9461,1031.189073031959,0.09173885213804343,0.09173885213804343,,,1.356814786195656,1.772214786195656
322,2014-07-23,2014-07-23 00:00:00,98.19,98.01,45.38,1000.0,,,10.3146,10.3873,1033.4166425223518,0.09067449069364326,0.09067449069364326,,,1.2471509306356747,1.319850930635674
321,2014-07-24,2014-07-24 00:00:00,98.13,92.01,45.38,1000.0,,,10.3211,11.2693,1032.8374027355537,0.09111819705338395,0.09111819705338395,,,1.209280294661605,2.157480294661605
320,2014-07-25,2014-07-25 00:00:00,97.96,96.04,45.38,1000.0,,,10.4171,11.2656,1026.4397953235523,0.09471629849992824,0.09471629849992824,,,0.9454701500071749,1.7939701500071745
319,2014-07-28,2014-07-28 00:00:00,98.97,95.49,45.38,1000.0,,,10.7198,11.3308,1026.0949167911913,0.09532231485255388,0.09532231485255388,,,1.187568514744612,1.7985685147446127
318,2014-07-29,2014-07-29 00:00:00,98.25,95.33,45.38,1000.0,,,10.2606,11.8263,1021.7469508628753,0.09785313016288996,0.09785313016288996,,,0.47528698371100475,2.0409869837110044
317,2014-07-30,2014-07-30 00:00:00,99.02,95.31,45.38,1000.0,,,9.8387,11.9465,1024.9726397336785,0.09621966103327322,0.09621966103327322,,,0.21673389667267706,2.324533896672678
